customer,churn
1000002,1
1000004,1
1000019,0
1000037,1
1000060,0
1000076,0
1000089,0
1000092,0
1000094,1
1000099,0
1000100,1
1000111,1
1000119,0
1000121,1
1000125,1
1000127,1
1000133,1
1000136,0
1000150,0
1000158,0
1000160,1
1000176,1
1000190,1
1000196,1
1000207,1
1000212,0
1000233,1
1000250,1
1000263,0
1000265,1
1000302,1
1000328,0
1000345,0
1000356,0
1000364,0
1000365,1
1000376,1
1000381,0
1000390,1
1000395,1
1000411,0
1000422,0
1000439,0
1000480,1
1000488,0
1000490,1
1000509,1
1000512,0
1000531,0
1000543,0
1000544,0
1000547,0
1000556,1
1000564,0
1000565,1
1000568,0
1000576,1
1000586,1
1000589,1
1000595,0
1000618,0
1000622,0
1000627,0
1000645,1
1000652,0
1000656,1
1000666,0
1000673,0
1000676,1
1000682,1
1000685,1
1000689,1
1000700,1
1000705,0
1000713,1
1000721,0
1000724,0
1000749,1
1000751,1
1000755,0
1000756,1
1000773,0
1000806,1
1000807,1
1000811,1
1000816,1
1000819,1
1000824,0
1000828,0
1000844,1
1000848,1
1000853,0
1000856,0
1000858,0
1000862,1
1000877,0
1000878,1
1000889,0
1000892,0
1000897,0
1000898,0
1000901,1
1000905,1
1000910,0
1000943,0
1000947,0
1000951,1
1000957,0
1000966,0
1000986,0
1000992,0
1001002,1
1001005,0
1001006,1
1001009,1
1001011,1
1001016,0
1001026,1
1001027,0
1001049,1
1001051,1
1001071,0
1001073,0
1001077,1
1001082,0
1001097,0
1001100,1
1001102,1
1001108,0
1001112,0
1001117,0
1001124,1
1001128,0
1001134,0
1001148,0
1001163,0
1001164,1
1001165,0
1001166,1
1001172,0
1001175,0
1001188,0
1001209,1
1001212,1
1001219,1
1001222,1
1001228,0
1001254,1
1001261,0
1001262,0
1001268,0
1001275,0
1001279,0
1001291,0
1001295,0
1001297,1
1001306,1
1001309,0
1001316,1
1001326,0
1001329,1
1001335,0
1001345,0
1001354,0
1001355,0
1001356,0
1001363,0
1001364,0
1001366,1
1001378,1
1001388,1
1001398,0
1001427,0
1001442,1
1001459,0
1001470,1
1001485,1
1001487,0
1001496,1
1001503,0
1001515,0
1001520,1
1001539,0
1001560,0
1001568,1
1001571,0
1001584,1
1001587,1
1001603,0
1001604,0
1001618,1
1001628,1
1001636,1
1001638,1
1001664,1
1001667,1
1001674,0
1001679,0
1001692,0
1001698,1
1001699,0
1001703,1
1001714,0
1001734,1
1001744,0
1001750,1
1001760,1
1001764,0
1001781,1
1001793,0
1001794,0
1001813,1
